Date,Store_BHX,Store_TGDD,Store_DMX,Revstore_BHX,Monthly_Revenue,Monthly_NPAT,ICTCE_Revenue,BHX_Revenue,ICT_Revenue,CE_Revenue
2019-08-31,725,"1,000",886,1.57,"7,926",286,"6,772","1,084","2,744","4,028"
2019-09-30,788,"1,000",907,1.35,"7,908",279,"6,959","1,019","2,629","4,330"
2019-10-31,866,998,937,1.31,"7,960",284,"6,789","1,085","2,518","4,271"
2019-11-30,938,997,983,1.33,"8,363",282,"7,156","1,197","2,604","4,552"
2019-12-31,"1,008",996,"1,018",1.34,"9,088",294,"7,877","1,307","2,523","5,354"
2020-01-31,"1,041","1,015","1,028",1.29,"12,560",553,"11,241","1,319","3,316","7,925"
2020-02-29,"1,068","1,015","1,028",1.20,"7,981",292,"6,712","1,269","2,600","4,112"
2020-03-31,"1,158","1,009","1,030",1.71,"8,812",287,"6,909","1,903","2,450","4,459"
2020-04-30,"1,234","1,003","1,031",1.41,"7,834",209,"6,152","1,682","1,824","4,328"
2020-05-31,"1,365",998,"1,038",1.28,"10,305",382,"8,642","1,663","2,159","6,483"
2020-06-30,"1,486",971,"1,044",1.14,"8,147",304,"6,525","1,622","2,118","4,406"
2020-07-31,"1,561",966,"1,065",1.18,"8,669",326,"6,874","1,795","2,575","4,298"
2020-08-31,"1,595",964,"1,083",1.24,"8,662",326,"6,708","1,954","2,514","4,194"
2020-09-30,"1,623",962,"1,124",1.20,"8,382",299,"6,458","1,924","2,409","4,049"
2020-10-31,"1,656",948,"1,198",1.21,"8,750",305,"6,762","1,988","2,543","4,219"
2020-11-30,"1,687",933,"1,274",1.22,"9,202",316,"7,156","2,046","2,503","4,653"
2020-12-31,"1,719",913,"1,427",1.24,"9,242",321,"7,133","2,109","2,514","4,619"
2021-01-31,"1,749",908,"1,500",1.34,"11,049",494,"8,729","2,320",,
2021-02-28,"1,756",908,"1,531",0.94,"10,670",505,"9,016","1,654",,
2021-03-31,"1,767",909,"1,553",1.12,"9,108",338,"7,133","1,975","2,615","4,518"
2021-04-30,"1,803",923,"1,628",1.20,"9,622",354,"7,482","2,140","2,579","4,903"
2021-05-31,"1,851",927,"1,699",1.39,"11,381",481,"8,690","2,535","2,532","6,158"
2021-06-30,"1,888",936,"1,731",1.47,"10,657",380,"7,878","2,747","2,250","5,628"
2021-07-31,"1,919",949,"1,763",2.20,"9,499",232,"5,278","4,192","1,583","3,695"
2021-08-31,"1,928",949,"1,768",1.60,"6,509",222,"3,410","3,080","1,085","2,325"
2021-09-30,"1,934",950,"1,781",1.01,"8,322",332,"6,285","1,956","2,199","4,083"
2021-10-31,"1,976",958,"1,802",1.02,"12,189",568,"10,200","2,000","3,900","6,338"
2021-11-30,"2,026",966,"1,863",0.85,"11,524",489,"9,700","1,700","3,572","6,108"
2021-12-31,"2,106",970,"1,992",0.93,"12,428",506,"10,942","1,916","3,604","6,835"
2022-01-31,"2,106",970,"1,992",1.14,"15,900",543,"13,500","2,400","4,034","9,748"
2022-02-28,"2,122",976,"2,038",0.71,"9,483",534,"7,800","1,500","2,782","4,702"
2022-03-31,"2,127",985,"2,077",1.01,"11,084",368,"8,700","2,140","3,187","5,557"
2022-04-30,"2,140",985,"2,077",1.01,"11,441",374,"9,123","2,179","3,084","6,039"
2022-05-31,"2,140",985,"2,082",1.07,"11,416",383,"8,969","2,291","3,001","5,968"
2022-06-30,"1,889","1,017","2,131",1.14,"11,480",374,"9,002","2,319","2,912","5,986"
2022-07-31,"1,735","1,020","2,185",1.30,"11,066",305,"8,507","2,350","2,500","6,000"
2022-08-31,"1,726","1,086","2,222",1.40,"10,413",295,"7,756","2,429","3,000","4,800"
2022-09-30,"1,727","1,116","2,246",1.36,"10,535",307,"7,970","2,354","2,500","5,200"
2022-10-31,"1,729","1,163","2,269",1.37,"10,688",356,"8,314","2,374","3,300","5,500"
2022-11-30,"1,729","1,169","2,277",1.31,"9,971",159,"7,060","2,263","2,100","4,800"
2022-12-31,"1,728","1,190","2,284",1.44,"9,438",103,"6,956","2,481","2,286","4,671"
2023-01-31,"1,729","1,189","2,287",1.19,"9,505",,"7,271","2,063","2,424","4,848"
2023-02-28,"1,729","1,189","2,287",1.19,"9,505",,"7,271","2,063","2,424","4,848"
2023-03-31,"1,710","1,188","2,291",1.31,"7,980",,"5,403","2,244","1,792","3,611"
2023-04-30,"1,708","1,188","2,292",1.34,"9,857",,"7,358","2,289","2,204","5,154"
2023-05-31,"1,704","1,185","2,290",1.45,"10,297",,"7,630","2,467","2,236","5,395"
2023-06-30,"1,706","1,180","2,289",1.50,"9,426",,"6,609","2,564","2,236","4,374"
2023-07-31,"1,706","1,172","2,287",1.64,"9,920",,"6,807","2,800","2,377","4,418"
2023-08-31,"1,706","1,171","2,286",1.72,"9,965",,"6,851","2,930","2,352","4,511"
2023-09-30,"1,706","1,165","2,286",1.70,"10,403",,"7,199","2,903","2,629","4,535"
2023-10-31,"1,706","1,158","2,281",1.75,"11,188",,"7,800","2,977","3,153","4,684"
2023-11-30,"1,697","1,100","2,210",1.82,"9,908",,"6,555","3,092","2,300","4,255"
2023-12-31,"1,698","1,078","2,190",1.90,"10,326",,"6,750","3,218","2,144","4,606"
2024-01-31,"1,698","1,077","2,189",1.79,"10,807",,"7,446","3,047","2,291","5,155"
2024-02-29,"1,698","1,077","2,189",1.79,"10,807",,"7,446","3,047","2,291","5,155"
2024-03-31,"1,696","1,071","2,184",1.80,"9,828",,"6,426","3,054","2,209","4,216"
2024-04-30,"1,696","1,071","2,184",1.91,"11,598",,"8,079","3,246","2,118","5,961"
2024-05-31,"1,698","1,070","2,180",2.03,"11,201",,"7,433","3,443","2,210","5,223"
2024-06-30,"1,701","1,046","2,093",2.15,"11,381",,"7,465","3,651","2,399","5,066"
2024-07-31,"1,704","1,028","2,034",2.08,"10,920",,"7,065","3,549","2,479","4,586"
2024-08-31,"1,721","1,023","2,031",2.16,"11,426",,"7,491","3,703","2,652","4,839"
2024-09-30,"1,726","1,023","2,030",2.08,"11,800",,"7,894","3,587","3,000","4,894"
2024-10-31,"1,735","1,022","2,030",2.04,"11,586",,"7,862","3,522","3,071","4,791"
2024-11-30,"1,735","1,022","2,030",2.06,"11,007",,"7,089","3,572","2,674","4,414"
2024-12-31,"1,770","1,021","2,026",2.10,"10,456",,"7,910","3,685","2,698","5,213"
2025-01-31,"1,864","1,018","2,027",1.95,"12,262",,"8,449","3,544","2,820","5,628"
2025-02-28,"1,864","1,018","2,027",1.90,"12,262",,"8,449","3,544","2,820","5,628"
2025-03-31,"2,002","1,017","2,027",2.03,"11,567",,"7,356","3,920","2,660","4,696"
2025-04-30,"2,129","1,017","2,025",1.92,"12,544",,"8,332","3,972","2,642","5,690"
2025-05-31,"2,180","1,015","2,025",1.80,"12,594",,"8,377","3,879","2,711","5,666"
2025-06-30,"2,184","1,015","2,023",1.72,"12,426",,"8,460","3,754","2,918","5,542"
2025-07-31,"2,204","1,014","2,022",1.76,"12,852",,"8,710","3,859","3,065","5,645"
2025-08-31,"2,233","1,014","2,023",1.79,"13,294",,"8,934","3,968","2,918","6,016"
